,Study_number,Rs_annual,Study_midyear,geometry,color
4659,6102.0,303.0,1180656000.0,POINT (-2.250277778 36.83472222),#168b00ff
4380,6140.0,3936.0,1212278400.0,POINT (-96.42708055999999 30.55327778),#ffe000ff
4382,6140.0,15251.0,1212278400.0,POINT (-96.42708055999999 30.55327778),#ff0000ff
4381,6140.0,23046.0,1212278400.0,POINT (-96.42708055999999 30.55327778),#ff0000ff
4670,6149.0,870.0,1180656000.0,POINT (114.67 27.67),#3fa000ff
4668,6149.0,1220.0,1180656000.0,POINT (114.67 27.67),#59ac00ff
4667,6149.0,1053.0,1180656000.0,POINT (114.67 27.67),#4da600ff
4666,6149.0,673.0,1180656000.0,POINT (114.67 27.67),#319900ff
4662,6149.0,1362.0,1149120000.0,POINT (114.67 27.67),#63b200ff
4661,6149.0,795.0,1149120000.0,POINT (114.67 27.67),#3a9d00ff
4660,6149.0,1249.0,1149120000.0,POINT (114.67 27.67),#5bae00ff
4669,6149.0,1203.0,1180656000.0,POINT (114.67 27.67),#57ac00ff
4371,6152.0,443.0,1180656000.0,POINT (113.0166667 28.1),#209000ff
4372,6152.0,473.0,1212278400.0,POINT (113.0166667 28.1),#229100ff
4689,6216.0,1007.0,1117584000.0,POINT (-15.4 28.1),#49a500ff
4693,6216.0,1445.0,1117584000.0,POINT (-15.4 28.1),#69b500ff
4692,6216.0,1577.0,1117584000.0,POINT (-15.4 28.1),#73b900ff
4691,6216.0,1358.0,1117584000.0,POINT (-15.4 28.1),#63b100ff
4690,6216.0,1708.0,1117584000.0,POINT (-15.4 28.1),#7cbe00ff
4688,6216.0,1621.0,1117584000.0,POINT (-15.4 28.1),#76bb00ff
4685,6216.0,350.0,1117584000.0,POINT (-15.4 28.1),#198d00ff
4686,6216.0,1840.0,1117584000.0,POINT (-15.4 28.1),#86c300ff
4674,6216.0,219.0,1054425600.0,POINT (-15.4 28.1),#108800ff
4675,6216.0,307.0,1054425600.0,POINT (-15.4 28.1),#168b00ff
4676,6216.0,1621.0,1054425600.0,POINT (-15.4 28.1),#76bb00ff
4677,6216.0,1927.0,1054425600.0,POINT (-15.4 28.1),#8cc600ff
4678,6216.0,1533.0,1054425600.0,POINT (-15.4 28.1),#70b800ff
4687,6216.0,1971.0,1117584000.0,POINT (-15.4 28.1),#90c800ff
4680,6216.0,1796.0,1054425600.0,POINT (-15.4 28.1),#83c100ff
4679,6216.0,1139.0,1054425600.0,POINT (-15.4 28.1),#53a900ff
